[16:24:36.089]Initing... C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CustomUnitDecorator version: 1.0.0.3
[16:24:53.796]FinishedLoading
[16:24:53.796]DropCostsEnhanced Detecting
[16:25:49.542]MechDef.DependenciesLoaded chassisdef_shadowhawk_SHD-2D
[16:25:49.545]MechDef.GatherDependencies mechdef_shadowhawk_SHD-2D
[16:25:49.545]MechDef.DependenciesLoaded chassisdef_shadowhawk_SHD-2H
[16:25:49.545]MechDef.GatherDependencies mechdef_shadowhawk_SHD-2H
[16:25:49.545]MechDef.DependenciesLoaded chassisdef_spider_SDR-5V
[16:25:49.545]MechDef.GatherDependencies mechdef_spider_SDR-5V
[16:25:49.547]MechDef.GatherDependencies mechdef_stalker_STK-3F
[16:25:49.549]MechDef.GatherDependencies mechdef_thunderbolt_TDR-5S
[16:25:49.551]MechDef.GatherDependencies mechdef_thunderbolt_TDR-5SE
[16:25:49.552]MechDef.GatherDependencies mechdef_thunderbolt_TDR-5SS
[16:25:49.553]MechDef.GatherDependencies mechdef_trebuchet_TBT-5N
[16:25:49.555]MechDef.GatherDependencies mechdef_urbanmech_TESTDUMMY
[16:25:49.556]MechDef.GatherDependencies mechdef_urbanmech_UM-R60
[16:25:49.557]MechDef.GatherDependencies mechdef_victor_VTR-9B
[16:25:49.559]MechDef.GatherDependencies mechdef_victor_VTR-9S
[16:25:49.560]MechDef.GatherDependencies mechdef_vindicator_VND-1R
[16:25:49.561]MechDef.GatherDependencies mechdef_wolverine_WVR-6K
[16:25:49.563]MechDef.GatherDependencies mechdef_wolverine_WVR-6R
[16:25:49.564]MechDef.GatherDependencies mechdef_zeus_ZEU-6S
[16:25:49.565]MechDef.GatherDependencies mechdef_jagermech_JM6-S_fp_headhunting
[16:25:49.567]MechDef.GatherDependencies mechdef_thunderbolt_TDR-5SE_fp_headhunting
[16:25:49.569]MechDef.GatherDependencies mechdef_fp_morganKell_stalker_STK-3F
[16:25:49.570]MechDef.GatherDependencies mechdef_battlemaster_BLR-1G_fp_morganKell
[16:25:49.572]MechDef.GatherDependencies mechdef_enforcer_ENF-4R_fp_morganKell
[16:25:49.574]MechDef.GatherDependencies mechdef_jenner_JR7-D_fp_morganKell
[16:25:49.576]MechDef.GatherDependencies mechdef_orion_ON1-K_fp_morganKell
[16:25:49.577]MechDef.GatherDependencies mechdef_Catapult_fp_justinAllard
[16:25:49.579]MechDef.GatherDependencies mechdef_Centurion_fp_justinAllard
[16:25:49.580]MechDef.GatherDependencies mechdef_Dragon_fp_justinAllard
[16:25:49.582]MechDef.GatherDependencies mechdef_Griffin_fp_justinAllard
[16:25:49.583]MechDef.GatherDependencies mechdef_griffin_GRF-4N_fp_greed
[16:25:49.585]MechDef.GatherDependencies mechdef_banshee_BNC-3S
[16:25:49.586]MechDef.GatherDependencies mechdef_blackjack_BJ-1DB
[16:25:49.588]MechDef.GatherDependencies mechdef_catapult_CPLT-C4
[16:25:49.589]MechDef.GatherDependencies mechdef_urbanmech_UM-R60L
[16:25:49.590]MechDef.GatherDependencies mechdef_urbanmech_UM-R90
[16:25:49.592]MechDef.GatherDependencies mechdef_vindicator_VND-1AA
[16:25:49.593]MechDef.GatherDependencies mechdef_marauder_MAD-3R
[16:25:49.595]MechDef.GatherDependencies mechdef_warhammer_WHM-6D
[16:25:49.596]MechDef.GatherDependencies mechdef_warhammer_WHM-6R
[16:25:49.763]MechDef.GatherDependencies mechdef_warhammer_WHM-BW
[16:25:49.764]MechDef.GatherDependencies mechdef_locust_LCT-1E
[16:25:49.766]MechDef.GatherDependencies mechdef_spider_SDR-5K
[16:25:49.767]MechDef.GatherDependencies mechdef_atlas_AS7-GG
[16:25:49.769]MechDef.GatherDependencies mechdef_marauder_MAD-BH
[16:25:49.770]MechDef.GatherDependencies mechdef_marauder_MAD-CM
[16:25:49.771]MechDef.GatherDependencies mechdef_battlemaster_BLR-1GB
[16:25:49.773]MechDef.GatherDependencies mechdef_battlemaster_BLR-1S
[16:25:49.774]MechDef.GatherDependencies mechdef_granddragon_DRG-1G
[16:25:49.776]MechDef.GatherDependencies mechdef_marauder_MAD-2R
[16:25:49.777]MechDef.GatherDependencies mechdef_marauder_MAD-3D
[16:25:49.778]MechDef.GatherDependencies mechdef_trebuchet_TBT-7K
[16:25:49.779]MechDef.GatherDependencies mechdef_warhammer_WHM-7A
[16:25:49.781]MechDef.GatherDependencies mechdef_zeus_ZEU-5T
[16:25:49.782]MechDef.GatherDependencies mechdef_zeus_ZEU-6T
[16:25:49.783]MechDef.GatherDependencies mechdef_crab_BSC-27_fp_gladiator
[16:25:49.784]MechDef.GatherDependencies mechdef_crab_CRB-27
[16:25:49.786]MechDef.GatherDependencies mechdef_crab_CRB-27b
[16:25:49.788]MechDef.GatherDependencies mechdef_crab__fp_gladiator_BSC-27
[16:25:49.789]MechDef.GatherDependencies mechdef_cyclops_CP-10-HQ
[16:25:49.791]MechDef.GatherDependencies mechdef_cyclops_CP-10-Q
[16:25:49.792]MechDef.GatherDependencies mechdef_cyclops_CP-10-Z
[16:25:49.793]MechDef.GatherDependencies mechdef_hatchetman_HCT-3F
[16:25:49.795]MechDef.GatherDependencies mechdef_hatchetman_HCT-3X
[16:25:49.796]MechDef.GatherDependencies mechdef_cataphract_CTF-0X
[16:25:49.798]MechDef.GatherDependencies mechdef_javelin_JVN-10A
[16:25:49.799]MechDef.GatherDependencies mechdef_javelin_JVN-10F
[16:25:49.801]MechDef.GatherDependencies mechdef_javelin_JVN-10N
[16:25:49.802]MechDef.GatherDependencies mechdef_raven_RVN-1X
[16:25:49.804]MechDef.GatherDependencies mechdef_raven_RVN-3X
[16:25:49.805]MechDef.GatherDependencies mechdef_annihilator_ANH-1A
[16:25:49.807]MechDef.GatherDependencies mechdef_annihilator_ANH-JH
[16:25:49.808]MechDef.GatherDependencies mechdef_archer_ARC-2R
[16:25:49.810]MechDef.GatherDependencies mechdef_archer_ARC-2S
[16:25:49.811]MechDef.GatherDependencies mechdef_archer_ARC-LS
[16:25:49.812]MechDef.GatherDependencies mechdef_archer_ARC-XO
[16:25:49.813]MechDef.GatherDependencies mechdef_assassin_ASN-101
[16:25:49.815]MechDef.GatherDependencies mechdef_assassin_ASN-21
[16:25:49.816]MechDef.GatherDependencies mechdef_bullshark_BSK-M3
[16:25:49.818]MechDef.GatherDependencies mechdef_bullshark_BSK-MAZ
[16:25:49.819]MechDef.GatherDependencies mechdef_flea_FLE-15
[16:25:49.820]MechDef.GatherDependencies mechdef_flea_FLE-4
[16:25:49.821]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-1
[16:25:49.823]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-1b
[16:25:49.824]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-1K
[16:25:49.825]MechDef.GatherDependencies mechdef_rifleman_RFL-3C
[16:25:49.826]MechDef.GatherDependencies mechdef_rifleman_RFL-3N
[16:25:49.827]MechDef.GatherDependencies mechdef_rifleman_RFL-4D
[16:25:49.828]MechDef.GatherDependencies mechdef_rifleman_RFL-RIP
[16:25:49.829]MechDef.GatherDependencies mechdef_vulcan_VL-2T
[16:25:49.831]MechDef.GatherDependencies mechdef_vulcan_VL-5T
[16:25:49.832]MechDef.DependenciesLoaded chassisdef_shadowhawk_SHD-2D
[16:25:49.832]MechDef.GatherDependencies UNLOCKED_chrPrfMech_shadowhawkBacker-UMBRA-SHD-2D
[16:25:49.833]MechDef.DependenciesLoaded chassisdef_shadowhawk_SHD-2H
[16:25:49.833]MechDef.GatherDependencies UNLOCKED_chrPrfMech_shadowhawkBacker-UMBRA-SHD-2H
[16:25:49.840]MechDef.GatherDependencies vehicledef_APC_Sleipnir
[16:25:49.842]MechDef.GatherDependencies vehicledef_APC_Vargr
[16:25:49.843]MechDef.GatherDependencies vehicledef_APC_Wheeled
[16:25:49.844]MechDef.GatherDependencies vehicledef_BULLDOG
[16:25:49.846]MechDef.GatherDependencies vehicledef_CARRIER_LRM
[16:25:49.847]MechDef.GatherDependencies vehicledef_CARRIER_SRM
[16:25:49.849]MechDef.GatherDependencies vehicledef_DEMOLISHER
[16:25:49.850]MechDef.GatherDependencies vehicledef_GALLEON
[16:25:49.851]MechDef.GatherDependencies vehicledef_MANTICORE
[16:25:49.853]MechDef.GatherDependencies vehicledef_MOBILEHQ
[16:25:49.854]MechDef.GatherDependencies vehicledef_MOBILEHQ_ARMORED
[16:25:49.855]MechDef.GatherDependencies vehicledef_SCHREK
[16:25:49.856]MechDef.GatherDependencies vehicledef_SCORPION
[16:25:49.857]MechDef.GatherDependencies vehicledef_SLDFDroneHeavy
[16:25:49.858]MechDef.GatherDependencies vehicledef_SLDFDroneMedium
[16:25:49.859]MechDef.GatherDependencies vehicledef_STRIKER
[16:25:49.860]MechDef.GatherDependencies vehicledef_SWIFTWIND
[16:25:49.861]MechDef.GatherDependencies vehicledef_SWIFTWIND_ARMORED
[16:25:49.862]MechDef.GatherDependencies vehicledef_TARGETVEHICLE1
[16:25:49.864]MechDef.GatherDependencies vehicledef_TARGETVEHICLE2
[16:25:49.864]MechDef.GatherDependencies vehicledef_AMMOTRANSPORT
[16:25:49.865]MechDef.GatherDependencies vehicledef_GALLANT
[16:25:49.866]MechDef.GatherDependencies vehicledef_PACKRAT
[16:25:49.867]MechDef.GatherDependencies vehicledef_ROTUNDA
[16:25:49.868]MechDef.GatherDependencies vehicledef_APC_Alsvin
[16:25:49.869]MechDef.GatherDependencies vehicledef_APC_Arvakr
[16:25:49.870]MechDef.GatherDependencies vehicledef_CARRIER_Inferno
[16:25:49.871]MechDef.GatherDependencies vehicledef_DEMOLISHER_LBX
[16:25:49.872]MechDef.GatherDependencies vehicledef_GALLEON_TAG
[16:25:49.873]MechDef.GatherDependencies vehicledef_HM_SLDFDroneHeavy
[16:25:49.874]MechDef.GatherDependencies vehicledef_HM_SLDFDroneMedium
[16:25:49.875]MechDef.GatherDependencies vehicledef_SCHREK_SPPC
[16:25:49.876]MechDef.GatherDependencies vehicledef_SCORPION_MKII
[16:25:49.877]MechDef.GatherDependencies vehicledef_STRIKER_Narc
[16:25:49.878]MechDef.GatherDependencies mechdef_atlas_AS7-A
[16:25:49.880]MechDef.GatherDependencies mechdef_atlas_AS7-D
[16:25:49.881]MechDef.GatherDependencies mechdef_atlas_AS7-D-RS
[16:25:49.883]MechDef.GatherDependencies mechdef_atlas_AS7-K
[16:25:49.885]MechDef.GatherDependencies mechdef_awesome_AWS-8R
[16:25:49.886]MechDef.GatherDependencies mechdef_awesome_AWS-8V
[16:25:49.888]MechDef.GatherDependencies mechdef_awesome_AWS-9M
[16:25:49.889]MechDef.GatherDependencies mechdef_banshee_BNC-3Q
[16:25:49.890]MechDef.GatherDependencies mechdef_battlemaster_BLR-1D
[16:25:49.891]MechDef.GatherDependencies mechdef_battlemaster_BLR-2C
[16:25:49.893]MechDef.GatherDependencies mechdef_blackjack_BJ-1DC
[16:25:49.894]MechDef.GatherDependencies mechdef_blackjack_BJ-3
[16:25:49.896]MechDef.GatherDependencies mechdef_blackjack_BJ-3X
[16:25:49.897]MechDef.GatherDependencies mechdef_blackknight_BL-7-KNT-L
[16:25:49.898]MechDef.GatherDependencies mechdef_blackknight_BL-7-KNT
[16:25:49.899]MechDef.GatherDependencies mechdef_bombardier_BMB-10D
[16:25:49.901]MechDef.GatherDependencies mechdef_bombardier_BMB-12D
[16:25:49.902]MechDef.GatherDependencies mechdef_cataphract_CTF-4X
[16:25:49.903]MechDef.GatherDependencies mechdef_catapult_CPLT-A1
[16:25:49.905]MechDef.GatherDependencies mechdef_catapult_CPLT-K3
[16:25:49.906]MechDef.GatherDependencies mechdef_centurion_CN9-AH
[16:25:49.907]MechDef.GatherDependencies mechdef_Cestus_CTS-6YD
[16:25:49.908]MechDef.GatherDependencies mechdef_Chameleon_TRC-4B
[16:25:49.909]MechDef.GatherDependencies mechdef_champion_CHP-1N
[16:25:49.910]MechDef.GatherDependencies mechdef_champion_CHP-2N
[16:25:49.911]MechDef.GatherDependencies mechdef_Clint_CLNT-1-2R
[16:25:49.913]MechDef.GatherDependencies mechdef_Clint_CLNT-2-3T-Denton
[16:25:49.914]MechDef.GatherDependencies mechdef_Clint_CLNT-2-3T
[16:25:49.915]MechDef.GatherDependencies mechdef_Clint_CLNT-2-4T
[16:25:49.916]MechDef.GatherDependencies mechdef_commando_COM-1C
[16:25:49.917]MechDef.GatherDependencies mechdef_commando_COM-1D
[16:25:49.918]MechDef.GatherDependencies mechdef_commando_COM-3A
[16:25:49.919]MechDef.GatherDependencies mechdef_crab_CRB-20
[16:25:49.920]MechDef.GatherDependencies mechdef_Crockett_CRK-5003-0
[16:25:49.922]MechDef.GatherDependencies mechdef_Crockett_CRK-5003-1
[16:25:49.923]MechDef.GatherDependencies mechdef_Crockett_CRK-5003-2
[16:25:49.925]MechDef.GatherDependencies mechdef_cronus_CNS-3M
[16:25:49.926]MechDef.GatherDependencies mechdef_crusader_CRD-3D
[16:25:49.927]MechDef.GatherDependencies mechdef_crusader_CRD-3K
[16:25:49.929]MechDef.GatherDependencies mechdef_crusader_CRD-3L
[16:25:49.930]MechDef.GatherDependencies mechdef_crusader_CRD-3R
[16:25:49.931]MechDef.GatherDependencies mechdef_cyclops_CP-11-A-DC
[16:25:49.932]MechDef.GatherDependencies mechdef_cyclops_CP-11-A
[16:25:49.934]MechDef.GatherDependencies mechdef_Daboku_DCMS-MX90-D
[16:25:49.935]MechDef.GatherDependencies mechdef_dervish_DV-6M
[16:25:49.937]MechDef.GatherDependencies mechdef_dervish_DV-7D
[16:25:49.938]MechDef.GatherDependencies mechdef_devastator_DVS-1D
[16:25:49.939]MechDef.GatherDependencies mechdef_devastator_DVS-2
[16:25:49.940]MechDef.GatherDependencies mechdef_dragon_DRG-1C
[16:25:49.941]MechDef.GatherDependencies mechdef_dragon_DRG-1C
[16:25:49.943]MechDef.GatherDependencies mechdef_dragon_DRG-5N
[16:25:49.944]MechDef.GatherDependencies mechdef_emperor_EMP-6A
[16:25:49.945]MechDef.GatherDependencies mechdef_exterminator_EXT-4A
[16:25:49.947]MechDef.GatherDependencies mechdef_exterminator_EXT-4D
[16:25:49.948]MechDef.GatherDependencies mechdef_falcon_FLC-4NF
[16:25:49.949]MechDef.GatherDependencies mechdef_falcon_FLC-4NF
[16:25:49.951]MechDef.GatherDependencies mechdef_firefly_FFL-4C
[16:25:49.952]MechDef.GatherDependencies mechdef_firestarter_FS9-M
[16:25:49.954]MechDef.GatherDependencies mechdef_flashman_FLS-7K
[16:25:49.955]MechDef.GatherDependencies mechdef_flashman_FLS-8K
[16:25:49.956]MechDef.GatherDependencies mechdef_flea_FLE-14
[16:25:49.957]MechDef.GatherDependencies mechdef_granddragon_DRG-5K
[16:25:49.959]MechDef.GatherDependencies mechdef_grasshopper_GHR-5N
[16:25:49.961]MechDef.GatherDependencies mechdef_guillotine_GLT-3N
[16:25:49.962]MechDef.GatherDependencies mechdef_guillotine_GLT-4L
[16:25:49.964]MechDef.GatherDependencies mechdef_guillotine_GLT-4P
[16:25:49.966]MechDef.GatherDependencies mechdef_hatamoto-chi_HTM-26T
[16:25:49.967]MechDef.GatherDependencies mechdef_hatamoto-chi_HTM-27T
[16:25:49.968]MechDef.GatherDependencies mechdef_hatamoto-hi_HTM-27U
[16:25:49.970]MechDef.GatherDependencies mechdef_hatamoto-kaze_HTM-27V
[16:25:49.971]MechDef.GatherDependencies mechdef_hatamoto-ku_HTM-27W
[16:25:49.972]MechDef.GatherDependencies mechdef_HermesII_HER-2M
[16:25:49.973]MechDef.GatherDependencies mechdef_HermesII_HER-2S
[16:25:49.974]MechDef.GatherDependencies mechdef_HermesII_HER-4K
[16:25:49.975]MechDef.GatherDependencies mechdef_Hermes_HER-1A
[16:25:49.976]MechDef.GatherDependencies mechdef_Hermes_HER-1B
[16:25:49.977]MechDef.GatherDependencies mechdef_Hermes_HER-1S
[16:25:49.978]MechDef.GatherDependencies mechdef_Hermes_HER-3S
[16:25:49.980]MechDef.GatherDependencies mechdef_highlander_HGN-732
[16:25:49.981]MechDef.GatherDependencies mechdef_highlander_HGN-733C
[16:25:49.982]MechDef.GatherDependencies mechdef_Hornet_HNT-151
[16:25:49.983]MechDef.GatherDependencies mechdef_Hornet_HNT-152
[16:25:49.985]MechDef.GatherDependencies mechdef_hunchback_HBK-4G-Gauss
[16:25:49.986]MechDef.GatherDependencies mechdef_hunchback_HBK-4H
[16:25:49.987]MechDef.GatherDependencies mechdef_hunchback_HBK-4J
[16:25:49.988]MechDef.GatherDependencies mechdef_hunchback_HBK-4N
[16:25:49.990]MechDef.GatherDependencies mechdef_hunchback_HBK-4SP
[16:25:49.991]MechDef.GatherDependencies mechdef_hunchback_HBK-5M
[16:25:49.992]MechDef.GatherDependencies mechdef_hussar_HSR-200-D
[16:25:49.993]MechDef.GatherDependencies mechdef_hussar_HSR-300-D
[16:25:49.994]MechDef.GatherDependencies mechdef_hussar_HSR-350-D
[16:25:49.995]MechDef.GatherDependencies mechdef_jenner_JR7-F-Smith
[16:25:49.996]MechDef.GatherDependencies mechdef_jenner_JR7-F
[16:25:49.997]MechDef.GatherDependencies mechdef_jenner_JR7-K
[16:25:49.999]MechDef.GatherDependencies mechdef_kingcrab_KGC-000
[16:25:50.000]MechDef.GatherDependencies mechdef_kintaro_KTO-19
[16:25:50.001]MechDef.GatherDependencies mechdef_lancelot_LNC25-01
[16:25:50.002]MechDef.GatherDependencies mechdef_lancelot_LNC25-02
[16:25:50.004]MechDef.GatherDependencies mechdef_lancelot_LNC25-03
[16:25:50.005]MechDef.GatherDependencies mechdef_lancelot_LNC25-05
[16:25:50.006]MechDef.GatherDependencies mechdef_locust_LCT-1L
[16:25:50.007]MechDef.GatherDependencies mechdef_locust_LCT-3V
[16:25:50.009]MechDef.GatherDependencies mechdef_longbow_LGB-0W
[16:25:50.010]MechDef.GatherDependencies mechdef_longbow_LGB-0W2
[16:25:50.011]MechDef.GatherDependencies mechdef_longbow_LGB-7Q
[16:25:50.013]MechDef.GatherDependencies mechdef_longbow_LGB-8C
[16:25:50.014]MechDef.GatherDependencies mechdef_marauder_MAD-1R
[16:25:50.016]MechDef.GatherDependencies mechdef_marauder_MAD-3L
[16:25:50.017]MechDef.GatherDependencies mechdef_marauder_MAD-3M
[16:25:50.018]MechDef.GatherDependencies mechdef_marauder_MAD-4X
[16:25:50.020]MechDef.GatherDependencies mechdef_marauder_MAD-5D
[16:25:50.021]MechDef.GatherDependencies mechdef_mauler_MAL-1R
[16:25:50.023]MechDef.GatherDependencies mechdef_mercury_MCY-99
[16:25:50.024]MechDef.GatherDependencies mechdef_Mongoose_MON-66
[16:25:50.025]MechDef.GatherDependencies mechdef_Mongoose_MON-67
[16:25:50.026]MechDef.GatherDependencies mechdef_Mongoose_MON-68
[16:25:50.027]MechDef.GatherDependencies mechdef_nightstar_NSR-9J
[16:25:50.028]MechDef.GatherDependencies mechdef_orion_ON1-VA-DC
[16:25:50.029]MechDef.GatherDependencies mechdef_orion_ON1-VA
[16:25:50.031]MechDef.GatherDependencies mechdef_Ostroc_OSR-2C
[16:25:50.032]MechDef.GatherDependencies mechdef_Ostroc_OSR-2L
[16:25:50.033]MechDef.GatherDependencies mechdef_Ostroc_OSR-2M
[16:25:50.034]MechDef.GatherDependencies mechdef_Ostroc_OSR-3C
[16:25:50.035]MechDef.GatherDependencies mechdef_Ostroc_OSR-9C
[16:25:50.036]MechDef.GatherDependencies mechdef_Ostscout-OTT-7J
[16:25:50.038]MechDef.GatherDependencies mechdef_Ostscout-OTT7J
[16:25:50.039]MechDef.GatherDependencies mechdef_Ostsol_OTL-4D
[16:25:50.040]MechDef.GatherDependencies mechdef_Ostsol_OTL-4F
[16:25:50.041]MechDef.GatherDependencies mechdef_panther_PNT-9RALA
[16:25:50.042]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-1D
[16:25:50.044]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-3D
[16:25:50.045]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-3M
[16:25:50.047]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-3S
[16:25:50.048]MechDef.GatherDependencies chassisdef_pillager_PLG-3Z
[16:25:50.049]MechDef.GatherDependencies mechdef_quickdraw_QKD-4H
[16:25:50.050]MechDef.GatherDependencies mechdef_raven_RVN-2X
[16:25:50.052]MechDef.GatherDependencies mechdef_raven_RVN-3L
[16:25:50.053]MechDef.GatherDependencies mechdef_Sentinel_STN-3K
[16:25:50.054]MechDef.GatherDependencies mechdef_Sentinel_STN-3KA
[16:25:50.055]MechDef.GatherDependencies mechdef_Sentinel_STN-3KB
[16:25:50.056]MechDef.GatherDependencies mechdef_Sentinel_STN-3L
[16:25:50.057]MechDef.GatherDependencies mechdef_Sentinel_STN-3M
[16:25:50.058]MechDef.GatherDependencies mechdef_shadowhawk_SHD-5M
[16:25:50.059]MechDef.GatherDependencies mechdef_shootist_ST-8A
[16:25:50.061]MechDef.GatherDependencies mechdef_spider_SDR-5D
[16:25:50.062]MechDef.GatherDependencies mechdef_stalker_STK-3H
[16:25:50.064]MechDef.GatherDependencies mechdef_stalker_STK-4N
[16:25:50.065]MechDef.GatherDependencies mechdef_stalker_STK-4P
[16:25:50.066]MechDef.GatherDependencies mechdef_Stinger_STG-3G
[16:25:50.067]MechDef.GatherDependencies mechdef_Stinger_STG-3R
[16:25:50.069]MechDef.GatherDependencies mechdef_thorn_THE-N
[16:25:50.070]MechDef.GatherDependencies mechdef_thorn_THE-S
[16:25:50.071]MechDef.GatherDependencies mechdef_thorn_THE-T
[16:25:50.073]MechDef.GatherDependencies mechdef_thug_THG-11E
[16:25:50.074]MechDef.GatherDependencies mechdef_thunderbolt_TDR-5D
[16:25:50.075]MechDef.GatherDependencies mechdef_thunderhawk_DK-7X
[16:25:50.077]MechDef.GatherDependencies mechdef_titan_TI-1A
[16:25:50.078]MechDef.GatherDependencies mechdef_trebuchet_TBT-5J
[16:25:50.079]MechDef.GatherDependencies mechdef_trebuchet_TBT-5S
[16:25:50.081]MechDef.GatherDependencies mechdef_trebuchet_TBT-7M
[16:25:50.082]MechDef.GatherDependencies mechdef_valkyrie_VLK-QA
[16:25:50.084]MechDef.GatherDependencies mechdef_valkyrie_VLK-QF
[16:25:50.086]MechDef.GatherDependencies mechdef_victor_VTR-9A
[16:25:50.087]MechDef.GatherDependencies mechdef_victor_VTR-9A1
[16:25:50.089]MechDef.GatherDependencies mechdef_vindicator_VND-1X
[16:25:50.090]MechDef.GatherDependencies mechdef_warhammer_WHM-6K
[16:25:50.092]MechDef.GatherDependencies mechdef_warhammer_WHM-6L
[16:25:50.093]MechDef.GatherDependencies mechdef_warhammer_WHM-7M
[16:25:50.094]MechDef.GatherDependencies mechdef_Whitworth_WTH-1
[16:25:50.096]MechDef.GatherDependencies mechdef_Whitworth_WTH-1S
[16:25:50.097]MechDef.GatherDependencies mechdef_Wolfhound_WLF-1
[16:25:50.098]MechDef.GatherDependencies mechdef_Wolfhound_WLF-1A
